ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Gender_Encoded,Ever_Married_Encoded,Spending_Score_Encoded,Graduated_Encoded,Cluster
459061,Female,Yes,35,Yes,Healthcare,9.0,High,3.0,0,1,1,1,3
459064,Male,Yes,27,No,Executive,5.0,High,4.0,1,1,1,0,1
459065,Male,Yes,52,Yes,Engineer,,Low,2.0,1,1,2,1,4
459074,Female,No,29,Yes,Healthcare,0.0,Low,4.0,0,0,2,1,3
459077,Female,Yes,79,No,Lawyer,1.0,High,2.0,0,1,1,0,2
459079,Male,Yes,87,Yes,Lawyer,,High,2.0,1,1,1,1,4
459080,Male,Yes,89,No,Lawyer,1.0,Low,2.0,1,1,2,0,4
459083,Male,Yes,63,Yes,Artist,9.0,Average,3.0,1,1,0,1,0
459090,Male,No,31,No,Artist,1.0,Low,2.0,1,0,2,0,1
459091,Male,Yes,72,Yes,Artist,1.0,Average,6.0,1,1,0,1,0
459093,Female,Yes,41,Yes,Doctor,9.0,Average,2.0,0,1,0,1,5
459100,Female,No,61,Yes,Artist,11.0,Low,1.0,0,0,2,1,2
459106,Male,Yes,62,Yes,Artist,0.0,Low,2.0,1,1,2,1,4
459114,Male,Yes,56,Yes,Artist,1.0,Average,2.0,1,1,0,1,0
459116,Male,Yes,60,Yes,Artist,2.0,Average,5.0,1,1,0,1,0
459117,Male,Yes,68,Yes,Artist,0.0,High,2.0,1,1,1,1,4
459118,Male,No,19,No,Healthcare,,Low,8.0,1,0,2,0,1
459119,Male,Yes,57,Yes,Executive,8.0,High,3.0,1,1,1,1,4
459120,Male,No,19,No,Healthcare,5.0,Low,5.0,1,0,2,0,1
459121,Female,Yes,51,Yes,Artist,3.0,Average,6.0,0,1,0,1,5
459123,Female,Yes,86,No,Artist,1.0,High,2.0,0,1,1,0,2
459130,Female,Yes,74,No,Lawyer,1.0,High,2.0,0,1,1,0,2
459132,Male,No,23,No,Entertainment,6.0,Low,2.0,1,0,2,0,1
459136,Male,Yes,47,Yes,Artist,0.0,Average,2.0,1,1,0,1,0
459140,Female,No,19,No,Healthcare,7.0,Low,6.0,0,0,2,0,3
459143,Male,Yes,50,No,Artist,0.0,High,4.0,1,1,1,0,0
459144,Male,Yes,80,Yes,Lawyer,,High,2.0,1,1,1,1,4
459145,Male,Yes,78,No,Lawyer,,Low,1.0,1,1,2,0,4
459150,Female,No,48,Yes,Doctor,0.0,Low,1.0,0,0,2,1,3
459160,Male,Yes,70,Yes,Doctor,1.0,Average,2.0,1,1,0,1,0
459161,Male,Yes,50,Yes,Executive,3.0,High,5.0,1,1,1,1,0
459162,Female,Yes,83,Yes,Lawyer,0.0,High,2.0,0,1,1,1,2
459163,Male,No,35,Yes,Entertainment,0.0,Low,1.0,1,0,2,1,1
459167,Female,No,36,Yes,Artist,0.0,Low,2.0,0,0,2,1,3
459170,Female,No,35,Yes,Artist,1.0,Low,1.0,0,0,2,1,3
459171,Male,Yes,35,Yes,Artist,0.0,Average,2.0,1,1,0,1,0
459172,Male,No,18,No,Healthcare,3.0,Low,3.0,1,0,2,0,1
459175,Female,Yes,73,Yes,Artist,1.0,Average,2.0,0,1,0,1,5
459181,Male,Yes,62,No,Artist,1.0,High,3.0,1,1,1,0,4
459182,Female,Yes,46,Yes,Artist,1.0,Average,2.0,0,1,0,1,5
459184,Male,Yes,43,Yes,Entertainment,0.0,Low,4.0,1,1,2,1,1
459185,Female,No,32,Yes,Entertainment,7.0,Low,1.0,0,0,2,1,3
459193,Male,No,39,Yes,Artist,0.0,Low,1.0,1,0,2,1,1
459194,Female,Yes,89,Yes,Lawyer,0.0,High,2.0,0,1,1,1,2
459196,Female,No,18,No,Healthcare,0.0,Low,3.0,0,0,2,0,3
459208,Female,Yes,57,Yes,Artist,0.0,High,2.0,0,1,1,1,2
459209,Female,No,18,No,Entertainment,0.0,Low,4.0,0,0,2,0,3
459210,Female,Yes,71,Yes,Artist,1.0,High,2.0,0,1,1,1,2
459212,Female,Yes,69,Yes,Artist,0.0,Average,2.0,0,1,0,1,5
459213,Female,No,42,Yes,Healthcare,0.0,Low,4.0,0,0,2,1,3
459216,Female,No,36,Yes,Artist,0.0,Low,2.0,0,0,2,1,3
459220,Female,Yes,80,Yes,Lawyer,1.0,High,2.0,0,1,1,1,2
459221,Male,Yes,69,No,Entertainment,,Low,1.0,1,1,2,0,4
459222,Female,Yes,67,Yes,Artist,0.0,Average,3.0,0,1,0,1,5
459223,Female,Yes,47,Yes,Doctor,1.0,Average,4.0,0,1,0,1,5
459224,Female,Yes,49,Yes,Artist,0.0,Average,2.0,0,1,0,1,5
459227,Female,Yes,32,No,Engineer,9.0,Low,4.0,0,1,2,0,3
459229,Female,Yes,65,Yes,Lawyer,1.0,Average,4.0,0,1,0,1,5
459236,Female,Yes,78,No,Lawyer,0.0,High,2.0,0,1,1,0,2
459237,Male,No,33,Yes,Artist,1.0,Low,6.0,1,0,2,1,1
459244,Male,Yes,48,Yes,Artist,1.0,Low,1.0,1,1,2,1,1
459247,Male,Yes,58,Yes,Executive,1.0,Average,5.0,1,1,0,1,0
459258,Female,Yes,83,Yes,Lawyer,1.0,High,,0,1,1,1,2
459263,Female,No,30,No,Healthcare,9.0,Low,4.0,0,0,2,0,3
459264,Female,No,35,Yes,Artist,0.0,Low,2.0,0,0,2,1,3
459266,Male,No,32,Yes,Healthcare,6.0,Low,5.0,1,0,2,1,1
459270,Male,Yes,69,Yes,Homemaker,1.0,High,2.0,1,1,1,1,4
459284,Female,Yes,71,Yes,Lawyer,1.0,High,2.0,0,1,1,1,2
459287,Male,No,43,Yes,Lawyer,0.0,Low,1.0,1,0,2,1,1
459288,Male,Yes,37,Yes,Artist,0.0,Low,2.0,1,1,2,1,1
459289,Male,No,42,Yes,Doctor,0.0,Low,1.0,1,0,2,1,1
459290,Female,Yes,70,Yes,Doctor,1.0,Average,2.0,0,1,0,1,5
459292,Male,No,46,Yes,Artist,0.0,Low,2.0,1,0,2,1,1
459293,Male,No,21,No,Healthcare,,Low,,1,0,2,0,1
459296,Male,Yes,70,Yes,Artist,0.0,Average,2.0,1,1,0,1,0
459300,Female,Yes,61,Yes,Artist,1.0,Low,,0,1,2,1,2
459307,Male,Yes,60,Yes,Entertainment,1.0,Low,1.0,1,1,2,1,4
459310,Male,No,37,Yes,Entertainment,0.0,Low,2.0,1,0,2,1,1
459316,Male,Yes,30,Yes,Healthcare,1.0,Low,2.0,1,1,2,1,1
459318,Female,No,32,Yes,Engineer,1.0,Low,3.0,0,0,2,1,3
459320,Male,Yes,26,Yes,Executive,0.0,Low,3.0,1,1,2,1,1
459322,Male,No,42,Yes,Marketing,0.0,Low,1.0,1,0,2,1,1
459323,Female,No,18,No,Doctor,,Low,,0,0,2,0,3
459338,Male,Yes,80,No,Executive,,Low,,1,1,2,0,4
459339,Male,Yes,29,Yes,Healthcare,8.0,High,2.0,1,1,1,1,1
459344,Female,Yes,88,Yes,Artist,1.0,High,2.0,0,1,1,1,2
459347,Male,Yes,70,Yes,Lawyer,1.0,Low,1.0,1,1,2,1,4
459349,Female,Yes,50,Yes,Artist,1.0,High,4.0,0,1,1,1,5
459352,Male,Yes,43,Yes,Doctor,4.0,Average,4.0,1,1,0,1,0
459353,Male,Yes,51,Yes,Artist,6.0,Average,2.0,1,1,0,1,0
459354,Female,Yes,50,Yes,Artist,,High,3.0,0,1,1,1,5
459355,Female,Yes,74,No,Homemaker,,Low,1.0,0,1,2,0,2
459360,Female,No,29,Yes,Healthcare,,Low,3.0,0,0,2,1,3
459361,Female,No,32,Yes,Engineer,,Low,2.0,0,0,2,1,3
459362,Male,Yes,60,No,Executive,0.0,Low,2.0,1,1,2,0,4
459363,Male,No,46,Yes,Artist,2.0,Low,1.0,1,0,2,1,1
459364,Female,Yes,81,Yes,Marketing,0.0,Low,2.0,0,1,2,1,2
459369,Male,Yes,41,No,Engineer,,Average,7.0,1,1,0,0,0
459375,Male,Yes,22,No,Executive,0.0,High,4.0,1,1,1,0,1
459377,Male,Yes,37,Yes,Artist,0.0,Average,3.0,1,1,0,1,0
459383,Male,Yes,43,No,Engineer,0.0,Low,1.0,1,1,2,0,1
459384,Male,Yes,50,Yes,Artist,1.0,Average,3.0,1,1,0,1,0
459385,Female,Yes,35,Yes,Artist,1.0,Average,2.0,0,1,0,1,5
459386,Male,Yes,65,No,Lawyer,1.0,High,2.0,1,1,1,0,4
459391,Female,No,41,Yes,Engineer,0.0,Low,4.0,0,0,2,1,3
459394,Male,No,28,No,Entertainment,8.0,Low,2.0,1,0,2,0,1
459397,Male,Yes,55,Yes,Artist,4.0,Average,2.0,1,1,0,1,0
459398,Female,Yes,58,No,Lawyer,,High,2.0,0,1,1,0,2
459401,Male,No,28,No,Healthcare,1.0,Low,3.0,1,0,2,0,1
459403,Male,Yes,48,Yes,Artist,,Average,4.0,1,1,0,1,0
459405,Female,Yes,78,No,Doctor,1.0,High,2.0,0,1,1,0,2
459407,Female,No,35,Yes,Doctor,1.0,Low,3.0,0,0,2,1,3
459409,Female,Yes,76,Yes,Lawyer,0.0,High,2.0,0,1,1,1,2
459410,Female,Yes,88,Yes,Lawyer,1.0,High,2.0,0,1,1,1,2
459412,Male,Yes,61,Yes,,1.0,Average,3.0,1,1,0,1,0
459413,Female,Yes,79,Yes,Artist,,High,2.0,0,1,1,1,2
459415,Male,No,30,No,Doctor,0.0,Low,4.0,1,0,2,0,1
459418,Male,Yes,69,No,Executive,0.0,High,2.0,1,1,1,0,4
459419,Male,Yes,65,Yes,Doctor,1.0,Average,2.0,1,1,0,1,0
459420,Female,Yes,70,Yes,Lawyer,1.0,Low,2.0,0,1,2,1,2
459421,Male,Yes,32,No,Healthcare,0.0,Average,4.0,1,1,0,0,0
459422,Male,Yes,46,Yes,Entertainment,,Low,4.0,1,1,2,1,1
459423,Male,No,21,No,Healthcare,8.0,Low,5.0,1,0,2,0,1
459424,Male,Yes,47,Yes,Doctor,,Low,3.0,1,1,2,1,1
459428,Female,No,39,No,Marketing,0.0,Low,2.0,0,0,2,0,3
459432,Male,Yes,85,Yes,Lawyer,0.0,Low,3.0,1,1,2,1,4
459436,Female,No,66,Yes,Artist,0.0,Low,2.0,0,0,2,1,2
459439,Female,Yes,50,Yes,Artist,1.0,Average,2.0,0,1,0,1,5
459445,Female,Yes,42,Yes,Artist,0.0,Average,3.0,0,1,0,1,5
459447,Male,Yes,53,Yes,Artist,9.0,Low,1.0,1,1,2,1,4
459449,Male,Yes,37,Yes,Artist,,Low,2.0,1,1,2,1,1
459451,Female,Yes,45,Yes,Artist,1.0,Low,2.0,0,1,2,1,3
459456,Female,No,66,No,Lawyer,,Low,1.0,0,0,2,0,2
459458,Male,No,33,No,Marketing,,Low,,1,0,2,0,1
459459,Male,Yes,40,Yes,Artist,4.0,Low,1.0,1,1,2,1,1
459461,Female,Yes,35,Yes,Artist,1.0,Low,1.0,0,1,2,1,3
459464,Male,No,27,Yes,Artist,,Low,2.0,1,0,2,1,1
459466,Female,Yes,48,Yes,Artist,0.0,Average,3.0,0,1,0,1,5
459467,Female,Yes,56,Yes,Artist,0.0,Average,2.0,0,1,0,1,5
459469,Male,Yes,25,Yes,Healthcare,,Low,6.0,1,1,2,1,1
459471,Female,No,30,No,Artist,,Low,8.0,0,0,2,0,3
459480,Female,Yes,46,Yes,Entertainment,7.0,Low,3.0,0,1,2,1,3
459481,Male,Yes,49,No,Lawyer,0.0,Low,2.0,1,1,2,0,1
459482,Male,Yes,72,No,Marketing,1.0,Low,4.0,1,1,2,0,4
459485,Female,Yes,79,Yes,Lawyer,,High,2.0,0,1,1,1,2
459496,Female,No,35,Yes,Artist,,Low,3.0,0,0,2,1,3
459497,Female,Yes,77,Yes,Lawyer,0.0,Low,1.0,0,1,2,1,2
459499,Female,Yes,79,No,Lawyer,,High,2.0,0,1,1,0,2
459503,Male,Yes,42,Yes,Healthcare,6.0,High,4.0,1,1,1,1,0
459505,Female,No,42,Yes,Engineer,,Low,1.0,0,0,2,1,3
459507,Male,Yes,67,No,Lawyer,,High,2.0,1,1,1,0,4
459509,Male,No,26,Yes,Healthcare,1.0,Low,1.0,1,0,2,1,1
459512,Male,Yes,67,Yes,Lawyer,1.0,High,2.0,1,1,1,1,4
459515,Male,Yes,55,Yes,Engineer,1.0,Low,1.0,1,1,2,1,4
459516,Female,,56,Yes,Artist,,Average,2.0,0,2,0,1,5
459518,Male,Yes,63,,,,Average,4.0,1,1,0,2,0
459535,Male,Yes,46,Yes,Artist,8.0,Average,2.0,1,1,0,1,0
459536,Male,Yes,32,Yes,Healthcare,7.0,Low,2.0,1,1,2,1,1
459538,Female,No,49,Yes,Homemaker,13.0,Low,1.0,0,0,2,1,3
459541,Male,Yes,59,Yes,Artist,1.0,High,2.0,1,1,1,1,4
459549,Male,No,22,No,Healthcare,8.0,Low,5.0,1,0,2,0,1
459555,Female,No,28,Yes,Artist,8.0,Low,1.0,0,0,2,1,3
459558,Male,No,28,Yes,Entertainment,1.0,Low,3.0,1,0,2,1,1
459564,Male,Yes,75,Yes,Lawyer,2.0,Low,1.0,1,1,2,1,4
459566,Female,Yes,37,Yes,Artist,13.0,Low,2.0,0,1,2,1,3
459567,Male,Yes,50,Yes,Doctor,0.0,Average,2.0,1,1,0,1,0
459571,Female,Yes,50,Yes,Executive,1.0,High,4.0,0,1,1,1,5
459576,Female,Yes,88,No,Lawyer,,Low,,0,1,2,0,2
459579,Female,Yes,35,Yes,Artist,3.0,Average,5.0,0,1,0,1,5
459581,Female,No,35,No,,,Low,,0,0,2,0,3
459582,Male,Yes,31,No,Entertainment,,Average,3.0,1,1,0,0,0
459583,Male,Yes,46,Yes,Artist,0.0,Low,1.0,1,1,2,1,1
459585,Female,Yes,50,Yes,Artist,1.0,Average,4.0,0,1,0,1,5
459587,Female,No,33,Yes,Artist,7.0,Low,3.0,0,0,2,1,3
459588,Male,Yes,49,Yes,Artist,0.0,Low,1.0,1,1,2,1,1
459591,Male,Yes,52,Yes,Artist,1.0,Average,3.0,1,1,0,1,0
459592,Male,No,25,No,Healthcare,0.0,Low,3.0,1,0,2,0,1
459594,Female,Yes,41,Yes,Artist,6.0,Low,1.0,0,1,2,1,3
459597,Female,Yes,68,Yes,Artist,0.0,High,2.0,0,1,1,1,2
459603,Female,Yes,79,No,Lawyer,2.0,High,2.0,0,1,1,0,2
459607,Male,Yes,40,Yes,Entertainment,5.0,Average,5.0,1,1,0,1,0
459608,Female,No,62,Yes,Doctor,,Low,1.0,0,0,2,1,2
459612,Male,No,21,No,Healthcare,,Low,2.0,1,0,2,0,1
459616,Female,No,20,No,Healthcare,,Low,4.0,0,0,2,0,3
459617,Male,No,28,Yes,Entertainment,1.0,Low,5.0,1,0,2,1,1
459618,Male,Yes,57,Yes,Doctor,0.0,Average,2.0,1,1,0,1,0
459621,Female,No,25,No,Healthcare,8.0,Low,,0,0,2,0,3
459625,Female,Yes,63,No,Engineer,8.0,Low,1.0,0,1,2,0,2
459626,Female,Yes,26,No,Entertainment,1.0,Low,3.0,0,1,2,0,3
459632,Female,Yes,50,No,Marketing,0.0,High,3.0,0,1,1,0,5
459644,Female,No,30,No,Marketing,9.0,Low,4.0,0,0,2,0,3
459652,Female,No,26,No,Engineer,,Low,4.0,0,0,2,0,3
459658,Male,Yes,61,Yes,Artist,1.0,Average,3.0,1,1,0,1,0
459664,Male,No,42,Yes,Artist,3.0,Low,1.0,1,0,2,1,1
459665,Male,Yes,88,Yes,Artist,4.0,Low,2.0,1,1,2,1,4
459672,Male,Yes,45,No,Artist,3.0,Average,3.0,1,1,0,0,0
459673,Female,Yes,86,Yes,Lawyer,1.0,Low,1.0,0,1,2,1,2
459678,Male,No,18,No,Healthcare,1.0,Low,5.0,1,0,2,0,1
459680,Male,No,37,Yes,Entertainment,,Low,1.0,1,0,2,1,1
459686,Male,Yes,46,Yes,Artist,1.0,Low,1.0,1,1,2,1,1
459691,Male,Yes,58,No,Artist,,Average,2.0,1,1,0,0,0
459692,Female,Yes,72,Yes,Lawyer,8.0,High,2.0,0,1,1,1,2
459693,Female,Yes,50,Yes,Artist,0.0,High,3.0,0,1,1,1,5
459699,Female,,56,Yes,Engineer,8.0,Average,3.0,0,2,0,1,5
459701,Male,No,46,No,Artist,3.0,Low,3.0,1,0,2,0,1
459710,Male,Yes,57,Yes,Artist,,Low,1.0,1,1,2,1,4
459711,Male,Yes,42,No,Executive,9.0,High,6.0,1,1,1,0,0
459712,Male,No,20,No,Healthcare,,Low,4.0,1,0,2,0,1
459713,Male,No,19,No,Healthcare,,Low,3.0,1,0,2,0,1
459715,Male,No,19,No,Healthcare,4.0,Low,4.0,1,0,2,0,1
459718,Male,Yes,68,Yes,Executive,1.0,Low,1.0,1,1,2,1,4
459725,Female,Yes,40,Yes,Artist,0.0,Low,2.0,0,1,2,1,3
459727,Male,Yes,82,No,Lawyer,,High,2.0,1,1,1,0,4
459740,Female,No,23,No,Healthcare,1.0,Low,3.0,0,0,2,0,3
459742,Female,Yes,84,No,Lawyer,1.0,High,2.0,0,1,1,0,2
459745,Male,Yes,51,No,Artist,0.0,Low,4.0,1,1,2,0,1
459746,Male,,59,Yes,Artist,1.0,Average,2.0,1,2,0,1,0
459747,Female,Yes,41,Yes,Artist,1.0,Average,5.0,0,1,0,1,5
459748,Male,Yes,51,No,Executive,1.0,High,2.0,1,1,1,0,0
459755,Female,Yes,62,No,Artist,,Average,3.0,0,1,0,0,5
459756,Female,Yes,62,No,Lawyer,1.0,High,4.0,0,1,1,0,2
459760,Female,Yes,38,Yes,Artist,8.0,Low,1.0,0,1,2,1,3
459763,Male,No,18,No,Artist,,Low,4.0,1,0,2,0,1
459767,Male,No,22,No,Healthcare,3.0,Low,4.0,1,0,2,0,1
459771,Female,,30,Yes,Doctor,0.0,Low,3.0,0,2,2,1,3
459779,Female,Yes,62,Yes,Entertainment,1.0,Low,1.0,0,1,2,1,2
459780,Female,No,43,No,Entertainment,1.0,Low,3.0,0,0,2,0,3
459785,Female,No,32,Yes,Engineer,,Low,1.0,0,0,2,1,3
459793,Male,Yes,37,Yes,Artist,1.0,High,,1,1,1,1,0
459795,Male,No,48,Yes,Artist,1.0,Low,1.0,1,0,2,1,1
459801,Female,No,31,Yes,Engineer,4.0,Low,2.0,0,0,2,1,3
459804,Male,Yes,46,No,Artist,4.0,High,4.0,1,1,1,0,0
459806,Female,Yes,49,No,Engineer,1.0,Average,4.0,0,1,0,0,5
459808,Male,Yes,43,No,Doctor,,Average,4.0,1,1,0,0,0
459815,Male,No,42,Yes,Artist,8.0,Low,1.0,1,0,2,1,1
459816,Male,Yes,37,Yes,Doctor,,Low,2.0,1,1,2,1,1
459819,Male,Yes,72,Yes,Entertainment,,High,2.0,1,1,1,1,4
459821,Male,,71,No,Executive,,High,1.0,1,2,1,0,4
459822,Female,No,39,Yes,Engineer,1.0,Low,1.0,0,0,2,1,3
459825,Male,No,20,No,Healthcare,0.0,Low,5.0,1,0,2,0,1
459827,Female,No,26,No,,,Low,1.0,0,0,2,0,3
459832,Male,Yes,72,Yes,Executive,1.0,Low,1.0,1,1,2,1,4
459845,Male,Yes,70,Yes,Healthcare,0.0,Low,1.0,1,1,2,1,4
459851,Male,No,45,Yes,Artist,2.0,Low,1.0,1,0,2,1,1
459853,Male,No,33,No,Executive,7.0,Low,5.0,1,0,2,0,1
459856,Male,Yes,50,No,Entertainment,0.0,Average,3.0,1,1,0,0,0
459857,Male,No,31,Yes,Entertainment,6.0,Low,1.0,1,0,2,1,1
459861,Female,Yes,74,No,Lawyer,1.0,High,2.0,0,1,1,0,2
459864,Female,Yes,68,No,Artist,,High,2.0,0,1,1,0,2
459866,Female,No,49,Yes,Artist,,Low,1.0,0,0,2,1,3
459867,Male,Yes,49,Yes,Marketing,0.0,High,2.0,1,1,1,1,0
459869,Female,No,18,No,Healthcare,1.0,Low,3.0,0,0,2,0,3
459871,Female,Yes,85,No,Entertainment,2.0,Average,2.0,0,1,0,0,2
459885,Female,No,38,Yes,Entertainment,,Low,4.0,0,0,2,1,3
459886,Male,Yes,28,No,Artist,0.0,Low,4.0,1,1,2,0,1
459887,Male,Yes,46,No,Artist,3.0,Average,2.0,1,1,0,0,0
459889,Male,Yes,59,Yes,Homemaker,9.0,Average,3.0,1,1,0,1,0
459897,Female,Yes,56,Yes,Artist,0.0,Low,2.0,0,1,2,1,2
459909,Male,Yes,69,Yes,Artist,0.0,Low,1.0,1,1,2,1,4
459910,Male,Yes,66,Yes,Artist,0.0,Low,2.0,1,1,2,1,4
459911,Male,No,18,No,Healthcare,4.0,Low,6.0,1,0,2,0,1
459914,Male,No,36,Yes,Artist,4.0,Low,1.0,1,0,2,1,1
459923,Male,No,31,Yes,Marketing,1.0,Low,2.0,1,0,2,1,1
459925,Male,Yes,67,No,Executive,1.0,High,2.0,1,1,1,0,4
459937,Female,No,39,Yes,Artist,7.0,Low,1.0,0,0,2,1,3
459943,Male,No,42,Yes,Entertainment,4.0,Low,3.0,1,0,2,1,1
459945,Male,Yes,50,Yes,Artist,0.0,Low,2.0,1,1,2,1,1
459946,Female,Yes,37,Yes,Artist,0.0,Average,2.0,0,1,0,1,5
459949,Female,No,59,Yes,Artist,0.0,Low,1.0,0,0,2,1,2
459953,Male,Yes,50,Yes,Artist,8.0,Low,2.0,1,1,2,1,1
459961,Male,Yes,48,Yes,Artist,8.0,Low,3.0,1,1,2,1,1
459962,Male,Yes,55,Yes,Artist,9.0,Low,1.0,1,1,2,1,4
459966,Female,No,33,Yes,Doctor,1.0,Low,3.0,0,0,2,1,3
459968,Male,No,38,Yes,Artist,13.0,Low,1.0,1,0,2,1,1
459970,Male,No,43,Yes,Artist,0.0,Low,2.0,1,0,2,1,1
459973,Female,No,53,Yes,Artist,0.0,Low,2.0,0,0,2,1,3
459974,Male,No,37,Yes,Entertainment,0.0,Low,1.0,1,0,2,1,1
459975,Female,No,36,Yes,Artist,5.0,Low,1.0,0,0,2,1,3
459981,Male,No,36,Yes,Artist,5.0,Low,1.0,1,0,2,1,1
459986,Male,Yes,62,Yes,Artist,1.0,Low,1.0,1,1,2,1,4
459995,Female,No,38,No,Artist,2.0,Low,2.0,0,0,2,0,3
459996,Male,No,55,Yes,Entertainment,1.0,Low,1.0,1,0,2,1,4
459998,Male,Yes,60,No,Entertainment,1.0,Average,2.0,1,1,0,0,0
460004,Female,Yes,36,Yes,Entertainment,7.0,Average,2.0,0,1,0,1,5
460006,Male,No,30,No,Entertainment,5.0,Low,9.0,1,0,2,0,1
460014,Female,No,66,No,Entertainment,4.0,Low,3.0,0,0,2,0,2
460023,Male,Yes,45,Yes,Entertainment,1.0,Low,1.0,1,1,2,1,1
460027,Female,No,40,Yes,Entertainment,6.0,Low,,0,0,2,1,3
460033,Female,,45,Yes,Entertainment,5.0,Low,3.0,0,2,2,1,3
460036,Male,Yes,41,Yes,,2.0,Low,1.0,1,1,2,1,1
460040,Female,Yes,62,Yes,Homemaker,4.0,Low,1.0,0,1,2,1,2
460045,Male,Yes,61,Yes,Artist,1.0,Low,2.0,1,1,2,1,4
460046,Female,Yes,50,Yes,Artist,4.0,Low,2.0,0,1,2,1,3
460050,Male,Yes,53,Yes,Entertainment,3.0,Low,2.0,1,1,2,1,4
460051,Male,No,39,Yes,Artist,7.0,Low,1.0,1,0,2,1,1
460052,Female,No,86,Yes,Lawyer,0.0,Low,1.0,0,0,2,1,2
460058,Male,Yes,50,Yes,Artist,1.0,Low,1.0,1,1,2,1,1
460059,Female,No,46,No,Entertainment,4.0,Low,,0,0,2,0,3
460061,Male,No,52,Yes,Marketing,0.0,Low,1.0,1,0,2,1,4
460066,Female,No,45,No,Marketing,0.0,Low,1.0,0,0,2,0,3
460068,Female,No,37,Yes,Artist,9.0,Low,1.0,0,0,2,1,3
460073,Female,Yes,36,Yes,Engineer,3.0,Low,1.0,0,1,2,1,3
460075,Female,No,25,Yes,Artist,,Low,1.0,0,0,2,1,3
460079,Female,No,40,No,Doctor,1.0,Low,1.0,0,0,2,0,3
460081,Male,Yes,41,Yes,Artist,11.0,High,2.0,1,1,1,1,0
460088,Female,Yes,25,Yes,Homemaker,,High,2.0,0,1,1,1,3
460090,Male,Yes,80,No,Lawyer,4.0,Average,2.0,1,1,0,0,4
460093,Female,No,46,Yes,Artist,3.0,Low,1.0,0,0,2,1,3
460095,Female,Yes,81,Yes,Lawyer,1.0,Low,1.0,0,1,2,1,2
460097,Male,,40,Yes,Artist,0.0,Low,2.0,1,2,2,1,1
460099,Male,No,49,Yes,,1.0,Low,1.0,1,0,2,1,1
460101,Female,No,26,Yes,Healthcare,8.0,Low,3.0,0,0,2,1,3
460103,Male,No,26,Yes,Artist,1.0,Low,1.0,1,0,2,1,1
460105,Female,No,47,Yes,Artist,0.0,Low,1.0,0,0,2,1,3
460106,Female,Yes,71,Yes,Entertainment,0.0,Low,,0,1,2,1,2
460107,Male,Yes,48,Yes,Engineer,1.0,Average,5.0,1,1,0,1,0
460108,Male,Yes,39,Yes,Artist,1.0,Average,3.0,1,1,0,1,0
460109,Male,Yes,50,Yes,Artist,8.0,Average,2.0,1,1,0,1,0
460110,Female,No,46,Yes,Artist,1.0,Low,2.0,0,0,2,1,3
460112,Male,Yes,26,Yes,Engineer,8.0,Average,2.0,1,1,0,1,0
460116,Female,Yes,42,Yes,,1.0,Low,2.0,0,1,2,1,3
460118,Female,Yes,36,Yes,Artist,4.0,Low,2.0,0,1,2,1,3
460119,Male,No,29,Yes,Healthcare,1.0,Low,4.0,1,0,2,1,1
460122,Female,No,39,No,Artist,1.0,Low,1.0,0,0,2,0,3
460124,Female,No,41,Yes,Artist,0.0,Low,3.0,0,0,2,1,3
